2025-10-09 09:07:26,366 - INFO - ======================================================================
2025-10-09 09:07:26,366 - INFO - VINTED DATA PIPELINE - FULL RUN
2025-10-09 09:07:26,366 - INFO - ======================================================================
2025-10-09 09:07:26,367 - INFO - 
[1/2] Running Vinted scraper...
2025-10-09 09:07:26,367 - INFO - ----------------------------------------------------------------------
2025-10-09 09:07:27,678 - INFO - Loading homepage to capture cookies
2025-10-09 09:07:40,138 - INFO - Cookies captured: 23
2025-10-09 09:07:40,143 - INFO - Scraping combo: Zara - Dresses - Women
2025-10-09 09:07:40,143 - INFO - Page 1, Attempt 1: Fetching https://www.vinted.es/api/v2/catalog/items?page=1&per_page=960&catalog_ids=10&brand_ids=12&order=relevance
2025-10-09 09:07:46,795 - INFO - API Response status: 200
2025-10-09 09:07:46,802 - INFO - Saved API response to debug_response_Zara_page1_20251009_090746.json
2025-10-09 09:07:46,828 - INFO - Page 1: Found 960 items
2025-10-09 09:07:46,828 - INFO - Scraped: Vestido negro de Zara (5.5 EUR, published: 2025-10-08)
2025-10-09 09:07:46,828 - INFO - Scraped: Vestido nuevo sin estrenar (4.0 EUR, published: 2025-10-09)
2025-10-09 09:07:46,828 - INFO - Scraped: Vestido mujer zara (6.0 EUR, published: 2025-10-07)
2025-10-09 09:07:46,829 - INFO - Scraped: Vestido corto azul Zara (2.0 EUR, published: 2025-10-08)
2025-10-09 09:07:46,829 - INFO - Scraped: Vestido blanco largo (8.0 EUR, published: 2025-10-09)
2025-10-09 09:07:46,829 - INFO - Scraped: Vestido mesh blanco Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 09:07:46,829 - INFO - Scraped: Vestido mini de Zara negro (5.0 EUR, published: 2025-10-08)
2025-10-09 09:07:46,829 - INFO - Scraped: Top zara (18.0 EUR, published: 2025-10-09)
2025-10-09 09:07:46,829 - INFO - Scraped: Vestido Zara S (6.0 EUR, published: 2025-10-08)
2025-10-09 09:07:46,829 - INFO - Scraped: Vestido largo espalda descubierta de Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 09:07:46,829 - INFO - Scraped: Vestido marrón chocolate (20.0 EUR, published: 2025-10-08)
2025-10-09 09:07:46,829 - INFO - Scraped: Vestido marrón zara (25.0 EUR, published: 2025-10-08)
2025-10-09 09:07:46,829 - INFO - Scraped: Vestido topos Zara (5.0 EUR, published: 2025-10-08)
