2025-10-10 23:55:49,317 - INFO - 
======================================================================
2025-10-10 23:55:49,317 - INFO - VINTED MARKET INTELLIGENCE PIPELINE
2025-10-10 23:55:49,317 - INFO - Started: 2025-10-10 23:55:49
2025-10-10 23:55:49,317 - INFO - ======================================================================

2025-10-10 23:55:49,317 - INFO - Checking dependencies...
2025-10-10 23:55:49,317 - INFO - [OK] playwright
2025-10-10 23:55:49,657 - INFO - [OK] pandas
2025-10-10 23:55:50,017 - INFO - [OK] streamlit
2025-10-10 23:55:50,017 - INFO - [OK] plotly
2025-10-10 23:55:50,019 - INFO - [OK] reportlab
2025-10-10 23:55:50,019 - INFO - [OK] All dependencies installed
2025-10-10 23:55:50,019 - INFO - [OK] Data directories ready

2025-10-10 23:55:50,019 - INFO - ======================================================================
2025-10-10 23:55:50,019 - INFO - STEP: SCRAPING (vinted_scraper.py)
2025-10-10 23:55:50,019 - INFO - ======================================================================
2025-10-10 23:56:47,821 - INFO - 
2025-10-10 23:56:47,821 - WARNING - 2025-10-10 23:55:51,028 - INFO - Loading homepage to capture cookies
2025-10-10 23:56:01,310 - INFO - Cookies captured: 17
2025-10-10 23:56:01,310 - INFO - Scraping combo: Zara - Dresses - Women
2025-10-10 23:56:01,310 - INFO - Page 1, Attempt 1: Fetching https://www.vinted.es/api/v2/catalog/items?page=1&per_page=960&catalog_ids=10&brand_ids=12&order=relevance
2025-10-10 23:56:05,520 - INFO - API Response status: 200
2025-10-10 23:56:05,533 - INFO - Saved API response to debug_response_Zara_page1_20251010_235605.json
2025-10-10 23:56:05,549 - INFO - Page 1: Found 960 items
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido corto Zara (8.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido Zara (5.0 EUR, published: 2025-10-08)
2025-10-10 23:56:05,549 - INFO - Scraped: Camisa abalorios talla s Zara (6.0 EUR, published: 2025-10-09)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido zara satinado (25.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido mini manga larga Zara (6.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido metalizado con espalda al aire mini de Zara fiesta (6.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido marron Zara talla m (4.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido Zara (14.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido estampado en tonos marrón caldera, beige y negro-T.M (19.9 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido largo (19.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido blanco - Talla XS (5.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido Zara (5.0 EUR, published: 2025-10-09)
2025-10-10 23:56:05,549 - INFO - Scraped: vestido zara volantes blanco (3.0 EUR, published: 2025-10-09)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido Zara (4.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido rojo elástico zara (3.5 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido verano Zara (5.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido marrón con  etiqueta de Zara (20.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido negro corto (7.0 EUR, published: 2025-10-09)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido corto con manga larga (4.0 EUR, published: 2025-10-09)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido rojo (8.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido Zara Volumen (25.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido negro Zara (5.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido leopardo (10.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido mini de Zara negro (5.0 EUR, published: 2025-10-08)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido (8.0 EUR, published: 2025-10-09)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido combinado Zara camisero (10.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido Maxi Zara (8.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido lencero lunares (5.5 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido Zara viral (10.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido (18.0 EUR, published: 2025-10-09)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido dorado Zara (7.0 EUR, published: 2025-10-09)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido zara (12.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: vestido negro volantes zara (12.0 EUR, published: 2025-10-08)
2025-10-10 23:56:05,549 - INFO - Scraped: Very nice (19.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido talla M (3.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido satinado (35.0 EUR, published: 2025-10-10)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido blanco zara (7.0 EUR, published: 2025-10-09)
2025-10-10 23:56:05,549 - INFO - Scraped: Vestido de Zara (25.0 EUR, published: 2025-10-10)
