2025-10-09 03:42:18,269 - INFO - ======================================================================
2025-10-09 03:42:18,270 - INFO - VINTED DATA PIPELINE - FULL RUN
2025-10-09 03:42:18,270 - INFO - ======================================================================
2025-10-09 03:42:18,270 - INFO - 
[1/2] Running Vinted scraper...
2025-10-09 03:42:18,270 - INFO - ----------------------------------------------------------------------
2025-10-09 03:42:19,287 - INFO - Loading homepage to capture cookies
2025-10-09 03:42:30,909 - INFO - Cookies captured: 16
2025-10-09 03:42:30,909 - INFO - Scraping combo: Zara - Dresses - Women
2025-10-09 03:42:30,909 - INFO - Page 1, Attempt 1: Fetching https://www.vinted.es/api/v2/catalog/items?page=1&per_page=960&catalog_ids=10&brand_ids=12&order=relevance
2025-10-09 03:42:35,966 - INFO - API Response status: 200
2025-10-09 03:42:35,972 - INFO - Saved API response to debug_response_Zara_page1_20251009_034235.json
2025-10-09 03:42:35,998 - INFO - Page 1: Found 960 items
2025-10-09 03:42:35,998 - INFO - Scraped: Vestido negro de Zara (5.5 EUR, published: 2025-10-08)
2025-10-09 03:42:35,998 - INFO - Scraped: Vestido mini de Zara negro (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:35,999 - INFO - Scraped: Vestido negro Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:35,999 - INFO - Scraped: Vestido mesh blanco Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:35,999 - INFO - Scraped: Vestido largo espalda descubierta de Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,000 - INFO - Scraped: Vestido mini Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,000 - INFO - Scraped: Vestido lentejuelas Zara (15.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,000 - INFO - Scraped: Vestido marrón zara (25.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,000 - INFO - Scraped: Vestido corto (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,000 - INFO - Scraped: Vestido blanco Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,000 - INFO - Scraped: Vestido estampado animal print (4.5 EUR, published: 2025-10-08)
2025-10-09 03:42:36,000 - INFO - Scraped: Vestido estampado Zara (8.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,000 - INFO - Scraped: Vestido cuadros (8.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,000 - INFO - Scraped: Vestido de punto (5.0 EUR, published: 2025-10-09)
2025-10-09 03:42:36,001 - INFO - Scraped: Vestido de fiesta champagne (3.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,001 - INFO - Scraped: Vestido Zara (3.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,001 - INFO - Scraped: Robe Zara courte verte (7.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,001 - INFO - Scraped: Vestido corto Zara (20.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,001 - INFO - Scraped: Vestido plumas (6.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,001 - INFO - Scraped: Vestido Zara (8.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,001 - INFO - Scraped: Envios en 24 horas. Descuentos por lotes (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,001 - INFO - Scraped: Vestido lino conchitas en la manga (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,001 - INFO - Scraped: Vestido negro (15.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,001 - INFO - Scraped: Vestido Negro Blazer Zara (25.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,001 - INFO - Scraped: Vestido talla M (6.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,002 - INFO - Scraped: Vestido negro (4.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,002 - INFO - Scraped: Vestido rojo y negro lunares. (8.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,002 - INFO - Scraped: Top peplum palabra de honor (10.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,002 - INFO - Scraped: top halter satinado zara (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,002 - INFO - Scraped: Vestido zara verde Lima corto (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,002 - INFO - Scraped: ZARA vestido negro (4.9 EUR, published: 2025-10-08)
2025-10-09 03:42:36,002 - INFO - Scraped: Vestido tul Zara (5.0 EUR, published: 2025-10-09)
2025-10-09 03:42:36,002 - INFO - Scraped: Vestido Zara S (7.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,002 - INFO - Scraped: Vestido brillos Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,002 - INFO - Scraped: Vestido blanco zara (5.0 EUR, published: 2025-10-06)
2025-10-09 03:42:36,002 - INFO - Scraped: Vestido largo Zara (4.99 EUR, published: 2025-10-07)
2025-10-09 03:42:36,002 - INFO - Scraped: Vestido rosa (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,003 - INFO - Scraped: Vestido de Zara de algodón de zebra TM (6.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,003 - INFO - Scraped: vestido negro volantes zara (12.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,003 - INFO - Scraped: Vestido midi ceñido Zara (15.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,003 - INFO - Scraped: Vestido midi (1.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,003 - INFO - Scraped: Vestido midi mujer (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,003 - INFO - Scraped: Vestido Camisero de Zara (8.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,003 - INFO - Scraped: Vestido Midi tie dye Zara (12.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,003 - INFO - Scraped: Vestido lazo (10.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,003 - INFO - Scraped: Vestido lencero asimétrico (38.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,003 - INFO - Scraped: Vestido corto lentejuelas . Solo puesto una vez (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,004 - INFO - Scraped: Vestido punto Zara (7.5 EUR, published: 2025-10-08)
2025-10-09 03:42:36,004 - INFO - Scraped: Vestido largo apertura (6.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,004 - INFO - Scraped: Vestido Zara flores (4.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,004 - INFO - Scraped: Vestido casi nuevo (8.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,004 - INFO - Scraped: Vestido camisero blanco de Zara (4.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,004 - INFO - Scraped: Vestido corto satinado (22.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,004 - INFO - Scraped: Vestido ajustado Zara talla S (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,004 - INFO - Scraped: Vestido mini negro de Zara nuevo (12.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,004 - INFO - Scraped: Vestido zara (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,005 - INFO - Scraped: Vestido Largo Zara S (3.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,005 - INFO - Scraped: vestido largo zara (5.5 EUR, published: 2025-10-08)
2025-10-09 03:42:36,005 - INFO - Scraped: Vestido Espalda Descubierta Zara (9.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,005 - INFO - Scraped: Vestido corto Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,005 - INFO - Scraped: Mono asimétrico Zara (9.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,006 - INFO - Scraped: Vestido tablas (27.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,006 - INFO - Scraped: Vestido corto (8.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,006 - INFO - Scraped: Vestido zara (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,006 - INFO - Scraped: Vestido Beige (5.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,007 - INFO - Scraped: Vestido invitada/ evento Zara (25.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,007 - INFO - Scraped: Sequin cream Zara dress (20.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,007 - INFO - Scraped: Vestido Zara (3.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,007 - INFO - Scraped: Top volantes Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,007 - INFO - Scraped: Vestido plateado satén (6.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,007 - INFO - Scraped: Vestido Zara (5.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,007 - INFO - Scraped: Vestido blanco Zara (7.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,008 - INFO - Scraped: Vestido negro (10.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,008 - INFO - Scraped: Vestido Zara asimétrico negro (5.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,008 - INFO - Scraped: Vestido Zara otoño invierno (9.99 EUR, published: 2025-10-07)
2025-10-09 03:42:36,008 - INFO - Scraped: Vestido punto Zara (5.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,008 - INFO - Scraped: Vestido animal print Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,008 - INFO - Scraped: Vestido mini de zara (13.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,008 - INFO - Scraped: Vestido rojo zara (15.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,009 - INFO - Scraped: Vestido Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,009 - INFO - Scraped: Vestido Zara midi (12.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,009 - INFO - Scraped: vestido midi Zara (6.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,009 - INFO - Scraped: Jacket of Zara (26.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,010 - INFO - Scraped: Vestido Negro elegante Zara (6.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,010 - INFO - Scraped: Vestido midi apertura negro licra zara (8.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,010 - INFO - Scraped: Vestido de flores de Zara. Talla XXL. (8.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,010 - INFO - Scraped: Vestido cuadros mini Zara (5.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,010 - INFO - Scraped: Vestido de Zara (4.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,010 - INFO - Scraped: Vestido (8.5 EUR, published: 2025-10-08)
2025-10-09 03:42:36,010 - INFO - Scraped: Vestido lencero (5.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,011 - INFO - Scraped: Vestido vaquero Zara sin estrenar (10.0 EUR, published: 2025-10-09)
2025-10-09 03:42:36,011 - INFO - Scraped: Vestido corto negro (8.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,011 - INFO - Scraped: Vestido de Zara (7.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,011 - INFO - Scraped: Vestido mini (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,011 - INFO - Scraped: Vestido midi (19.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,011 - INFO - Scraped: Vestido negro Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,011 - INFO - Scraped: Vestido Zara (25.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,011 - INFO - Scraped: Vestido ajustado (6.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,012 - INFO - Scraped: Vestido Zara talla M (5.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,012 - INFO - Scraped: Minivestido - Zara - (5.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,012 - INFO - Scraped: Vestido midi apertura gris perla zara (9.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,012 - INFO - Scraped: Vestido topos Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,012 - INFO - Scraped: Vestido zara (4.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,012 - INFO - Scraped: Vestido ablusado (8.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,012 - INFO - Scraped: Vestido nylon (20.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,012 - INFO - Scraped: Vestido largo Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,013 - INFO - Scraped: Vestido Zara de cuadros (5.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,013 - INFO - Scraped: Vestido Zara (7.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,013 - INFO - Scraped: Vestido Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,013 - INFO - Scraped: Vestido negro lentejuelas Zara Talla XL (8.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,013 - INFO - Scraped: Set Conjunto Morado Talla S/M (3.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,013 - INFO - Scraped: Vestido verde Zara (15.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,013 - INFO - Scraped: Vestido  fluido  negro muy elegante nuevo a estrenar marca Zara talla S (12.0 EUR, published: 2025-10-09)
2025-10-09 03:42:36,013 - INFO - Scraped: Vestido rojo mini punto cuello alto Zara (12.99 EUR, published: 2025-10-08)
2025-10-09 03:42:36,014 - INFO - Scraped: Vestido de fiesta (25.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,014 - INFO - Scraped: Vestido largo Zara (6.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,014 - INFO - Scraped: Vestido largo (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,014 - INFO - Scraped: Vestido. (20.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,014 - INFO - Scraped: Vestido de Zara (8.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,014 - INFO - Scraped: Vestido Zara (11.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,014 - INFO - Scraped: Vestido de Zara (8.0 EUR, published: 2025-10-07)
2025-10-09 03:42:36,014 - INFO - Scraped: Vestido de  Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,015 - INFO - Scraped: Vestido lima. (12.0 EUR, published: 2025-10-08)
2025-10-09 03:42:36,015 - INFO - Scraped: Vestido corto Zara (8.0 EUR, published: 2025-10-07)
