2025-10-11 18:09:08,018 - INFO - 
======================================================================
2025-10-11 18:09:08,018 - INFO - VINTED MARKET INTELLIGENCE PIPELINE
2025-10-11 18:09:08,019 - INFO - Started: 2025-10-11 18:09:08
2025-10-11 18:09:08,019 - INFO - ======================================================================

2025-10-11 18:09:08,019 - INFO - Checking dependencies...
2025-10-11 18:09:08,020 - INFO - [OK] playwright
2025-10-11 18:09:08,361 - INFO - [OK] pandas
2025-10-11 18:09:09,221 - INFO - [OK] streamlit
2025-10-11 18:09:09,221 - INFO - [OK] plotly
2025-10-11 18:09:09,224 - INFO - [OK] reportlab
2025-10-11 18:09:09,224 - INFO - [OK] All dependencies installed
2025-10-11 18:09:09,224 - INFO - [OK] Data directories ready

2025-10-11 18:09:09,225 - INFO - ======================================================================
2025-10-11 18:09:09,225 - INFO - STEP: SCRAPING (vinted_scraper.py)
2025-10-11 18:09:09,225 - INFO - ======================================================================
2025-10-11 18:10:14,318 - INFO - 
2025-10-11 18:10:14,318 - WARNING - 2025-10-11 18:09:10,326 - INFO - Loading homepage to capture cookies
2025-10-11 18:09:26,150 - INFO - Cookies captured: 16
2025-10-11 18:09:26,150 - INFO - Scraping combo: Zara - Dresses - Women
2025-10-11 18:09:26,150 - INFO - Page 1, Attempt 1: Fetching https://www.vinted.es/api/v2/catalog/items?page=1&per_page=960&catalog_ids=10&brand_ids=12&order=relevance
2025-10-11 18:09:30,494 - INFO - API Response status: 200
2025-10-11 18:09:30,504 - INFO - Saved API response to debug_response_Zara_page1_20251011_180930.json
2025-10-11 18:09:30,527 - INFO - Page 1: Found 960 items
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido Zara (5.0 EUR, published: 2025-10-10)
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido corto (1.2 EUR, published: 2025-10-11)
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido corto Zara (8.0 EUR, published: 2025-10-10)
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido blanco - Talla XS (5.0 EUR, published: 2025-10-10)
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido Zara Dress negro L (3.0 EUR, published: 2025-10-11)
2025-10-11 18:09:30,527 - INFO - Scraped: Ropa barata (1.0 EUR, published: 2025-10-11)
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido blanco Zara (8.0 EUR, published: 2025-10-11)
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido (3.0 EUR, published: 2025-10-11)
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido largo elegante satinado (13.0 EUR, published: 2025-10-10)
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido Zara Burdeos (16.0 EUR, published: 2025-10-11)
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido (5.0 EUR, published: 2025-10-10)
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido mini manga larga Zara (6.0 EUR, published: 2025-10-10)
2025-10-11 18:09:30,527 - INFO - Scraped: Vestido corto (5.0 EUR, published: 2025-10-11)
2025-10-11 18:09:30,528 - INFO - Scraped: Esta nuevo (4.0 EUR, published: 2025-10-11)
2025-10-11 18:09:30,528 - INFO - Scraped: Vestido Hombreras Zara (15.0 EUR, published: 2025-10-11)
2025-10-11 18:09:30,528 - INFO - Scraped: Vestido corto con manga larga (4.0 EUR, published: 2025-10-09)
