2025-10-09 01:33:30,280 - INFO - ======================================================================
2025-10-09 01:33:30,280 - INFO - VINTED DATA PIPELINE - FULL RUN
2025-10-09 01:33:30,280 - INFO - ======================================================================
2025-10-09 01:33:30,280 - INFO - 
[1/2] Running Vinted scraper...
2025-10-09 01:33:30,280 - INFO - ----------------------------------------------------------------------
2025-10-09 01:33:31,236 - INFO - Loading homepage to capture cookies
2025-10-09 01:33:41,394 - INFO - Cookies captured: 16
2025-10-09 01:33:41,397 - INFO - Scraping combo: Zara - Dresses - Women
2025-10-09 01:33:45,667 - INFO - Scraped: Vestido Largo Zara S (3.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,667 - INFO - Scraped: Vestido lencero asimétrico (38.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,667 - INFO - Scraped: Vestido mido vaquero (25.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,667 - INFO - Scraped: Mono asimétrico Zara (9.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,667 - INFO - Scraped: Vestido casi nuevo (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,667 - INFO - Scraped: Vestido blanco Zara (7.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,667 - INFO - Scraped: Vestido zara (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,667 - INFO - Scraped: Vestido Zara (9.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,667 - INFO - Scraped: Vestido corto (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,667 - INFO - Scraped: Vestido Camisero de Zara (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,667 - INFO - Scraped: Vestido largo (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido midi ceñido Zara (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido punto Zara (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido jacquard espalda descubierta (24.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido de fiesta (25.0 EUR, published: 2025-10-08)
