2025-10-13 07:58:05,639 - INFO - 
======================================================================
2025-10-13 07:58:05,639 - INFO - VINTED MARKET INTELLIGENCE PIPELINE
2025-10-13 07:58:05,639 - INFO - Started: 2025-10-13 07:58:05
2025-10-13 07:58:05,640 - INFO - ======================================================================

2025-10-13 07:58:05,640 - INFO - Checking dependencies...
2025-10-13 07:58:05,641 - INFO - [OK] playwright
2025-10-13 07:58:05,985 - INFO - [OK] pandas
2025-10-13 07:58:06,912 - INFO - [OK] streamlit
2025-10-13 07:58:06,912 - INFO - [OK] plotly
2025-10-13 07:58:06,916 - INFO - [OK] reportlab
2025-10-13 07:58:06,916 - INFO - [OK] All dependencies installed
2025-10-13 07:58:06,916 - INFO - [OK] Data directories ready

2025-10-13 07:58:06,916 - INFO - ======================================================================
2025-10-13 07:58:06,916 - INFO - STEP: SCRAPING (vinted_scraper.py)
2025-10-13 07:58:06,916 - INFO - ======================================================================
2025-10-13 07:59:15,403 - INFO - 
2025-10-13 07:58:26,665 - INFO - Scraped: Vestido (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,665 - INFO - Scraped: Vestido Zara Cinturón (7.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,665 - INFO - Scraped: Vestido dorado de Zara (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,665 - INFO - Scraped: Vestido gris Zara (3.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,665 - INFO - Scraped: Pichi Zara (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido midi de Zara (16.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido zara (21.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido Zara (6.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido largo flores (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Zara red long sleeve dress (8.5 EUR, published: 2025-10-13)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido negro Zara (5.0 EUR, published: 2025-10-12)
