item_id,brand_raw,category_raw,title,size_raw,condition_raw,audience,price,currency,published_at,listing_url,seller_id,visible,season,season_keyword,scrape_timestamp
7330826514,Michael Kors,Dresses,Abito Michael Kors Taglia M - Spalle Scoperte & Paisley Blu,M / 38 / 10,Muy bueno,Women,25.0,EUR,2025-10-15T16:54:57,https://www.vinted.es/items/7330826514-abito-michael-kors-taglia-m-spalle-scoperte-paisley-blu,53372058,True,,,2025-10-15T16:54:52.774843
7330826405,Guts & Gusto,Dresses,Bruine strakke jurk van Guts & Gusto,XS / 34 / 6,Muy bueno,Women,5.0,EUR,2025-10-15T16:54:56,https://www.vinted.es/items/7330826405-bruine-strakke-jurk-van-guts-gusto,65118225,True,,,2025-10-15T16:54:52.774843
7330826353,Shein Curve,Dresses,Vestido shein curve,XXL / 44 / 16,Muy bueno,Women,4.5,EUR,2025-10-15T16:54:55,https://www.vinted.es/items/7330826353-vestido-shein-curve,156697568,True,,,2025-10-15T16:54:52.774843
7330826090,Tezenis,Dresses,Maglia/vestito Tezenis,Talla única,Bueno,Women,8.0,EUR,2025-10-15T16:54:51,https://www.vinted.es/items/7330826090-magliavestito-tezenis,285098533,True,,,2025-10-15T16:54:52.774843
7330826173,P&Y,Dresses,Robe longue aspect satin,M / 38 / 10,Muy bueno,Women,3.0,EUR,2025-10-15T16:54:53,https://www.vinted.es/items/7330826173-robe-longue-aspect-satin,19112540,True,,,2025-10-15T16:54:52.774843
7330826229,Vestido,Dresses,Vestido raso,M / 38 / 10,Muy bueno,Women,10.0,EUR,2025-10-15T16:54:53,https://www.vinted.es/items/7330826229-vestido-raso,25637649,True,,,2025-10-15T16:54:52.774843
7330826255,Tintoretto,Dresses,Vestido Tintoreto para ceremonia,M / 38 / 10,Satisfactorio,Women,10.0,EUR,2025-10-15T16:54:54,https://www.vinted.es/items/7330826255-vestido-tintoreto-para-ceremonia,40806254,True,,,2025-10-15T16:54:52.774843
7330826046,Lefties,Dresses,Vestido camisero,M / 38 / 10,Muy bueno,Women,5.0,EUR,2025-10-15T16:54:51,https://www.vinted.es/items/7330826046-vestido-camisero,79576351,True,,,2025-10-15T16:54:52.774843
7330826024,Stradivarius,Dresses,Vestito nero Stradivarius taglia S come nuovo,S / 36 / 8,Muy bueno,Women,5.0,EUR,2025-10-15T16:54:50,https://www.vinted.es/items/7330826024-vestito-nero-stradivarius-taglia-s-come-nuovo,278269037,True,,,2025-10-15T16:54:52.774843
7330825956,Conbipel,Dresses,Vestito in maglia a trecce,S / 36 / 8,Muy bueno,Women,5.0,EUR,2025-10-15T16:54:49,https://www.vinted.es/items/7330825956-vestito-in-maglia-a-trecce,54621604,True,,,2025-10-15T16:54:52.774843
7330825959,American Vintage,Dresses,Robe vintage (colorimétrie été),S / 36 / 8,Muy bueno,Women,15.0,EUR,2025-10-15T16:54:49,https://www.vinted.es/items/7330825959-robe-vintage-colorimetrie-ete,20346452,True,,,2025-10-15T16:54:52.774843
7330825890,Shein,Dresses,Vestido tubo,XS / 34 / 6,Muy bueno,Women,5.0,EUR,2025-10-15T16:54:49,https://www.vinted.es/items/7330825890-vestido-tubo,64121351,True,,,2025-10-15T16:54:52.774843
7330825927,Shein,Dresses,Robe dos nu,XS / 34 / 6,Muy bueno,Women,8.0,EUR,2025-10-15T16:54:49,https://www.vinted.es/items/7330825927-robe-dos-nu,147375797,True,,,2025-10-15T16:54:52.774843
7330825741,Bonobo,Dresses,Robe à nuances de bleus,S / 36 / 8,Muy bueno,Women,7.0,EUR,2025-10-15T16:54:47,https://www.vinted.es/items/7330825741-robe-a-nuances-de-bleus,17667775,True,,,2025-10-15T16:54:52.774843
7330825814,,Dresses,Abito,M / 38 / 10,Muy bueno,Women,50.0,EUR,2025-10-15T16:54:48,https://www.vinted.es/items/7330825814-abito,305219145,True,,,2025-10-15T16:54:52.774843
7330825577,Elisabetta Franchi,Dresses,Meraviglioso abito Elisabetta Franchi,M / 38 / 10,Muy bueno,Women,140.0,EUR,2025-10-15T16:54:45,https://www.vinted.es/items/7330825577-meraviglioso-abito-elisabetta-franchi,52664693,True,,,2025-10-15T16:54:52.774843
7330499399,Shein,Dresses,Robe longue grise shein 😍,S / 36 / 8,Muy bueno,Women,6.0,EUR,2025-10-15T16:23:52,https://www.vinted.es/items/7330499399-robe-longue-grise-shein,286555647,True,,,2025-10-15T16:54:52.774843
7330825510,Tissaia,Dresses,Robe femme,XL / 42 / 14,Nuevo sin etiquetas,Women,2.0,EUR,2025-10-15T16:54:44,https://www.vinted.es/items/7330825510-robe-femme,12043433,True,,,2025-10-15T16:54:52.774843
7330825300,Mango,Dresses,Vestido negro tipo camisa abotonado,M / 38 / 10,Bueno,Women,4.0,EUR,2025-10-15T16:54:41,https://www.vinted.es/items/7330825300-vestido-negro-tipo-camisa-abotonado,38519881,True,,,2025-10-15T16:54:52.774843
7330825709,Donna,Dresses,Vestito,XS / 34 / 6,Nuevo sin etiquetas,Women,10.0,EUR,2025-10-15T16:54:46,https://www.vinted.es/items/7330825709-vestito,286960537,True,,,2025-10-15T16:54:52.774843
7330818931,H&M,Dresses,Jolie robe H&M,M / 38 / 10,Muy bueno,Women,15.0,EUR,2025-10-15T16:53:17,https://www.vinted.es/items/7330818931-jolie-robe-hm,145599620,True,,,2025-10-15T16:54:52.774843
7330824626,,Dresses,Robe longue élégante dentelle M,M / 38 / 10,Muy bueno,Women,11.2,EUR,2025-10-15T16:54:32,https://www.vinted.es/items/7330824626-robe-longue-elegante-dentelle-m,102783413,True,,,2025-10-15T16:54:52.774843
7330825250,MA AM collection,Dresses,Robe Tunique - Ma Am Collection,XL / 42 / 14,Bueno,Women,25.0,EUR,2025-10-15T16:54:40,https://www.vinted.es/items/7330825250-robe-tunique-ma-am-collection,144196854,True,,,2025-10-15T16:54:52.774843
7330825132,Shein,Dresses,Vestido,M / 38 / 10,Nuevo sin etiquetas,Women,15.0,EUR,2025-10-15T16:54:39,https://www.vinted.es/items/7330825132-vestido,24016891,True,,,2025-10-15T16:54:52.774843
7330825211,C&A,Dresses,Midi jurk van de C&A maat 40,L / 40 / 12,Nuevo sin etiquetas,Women,5.0,EUR,2025-10-15T16:54:40,https://www.vinted.es/items/7330825211-midi-jurk-van-de-ca-maat-40,292948133,True,,,2025-10-15T16:54:52.774843
7330825162,La Halle,Dresses,Robe maille côtelée noire La Halle,M / 38 / 10,Muy bueno,Women,3.0,EUR,2025-10-15T16:54:39,https://www.vinted.es/items/7330825162-robe-maille-cotelee-noire-la-halle,12837760,True,,,2025-10-15T16:54:52.774843
7276634344,Marimekko,Dresses,Vestito Marimekko Blu scuro,Talla única,Muy bueno,Women,15.0,EUR,2025-10-10T02:26:45,https://www.vinted.es/items/7276634344-vestito-marimekko-blu-scuro,294591947,True,,,2025-10-15T16:54:52.774843
7330379049,Park Avenue,Dresses,Vestido corto estampado,5XL / 50 / 22,Muy bueno,Women,7.0,EUR,2025-10-15T15:38:05,https://www.vinted.es/items/7330379049-vestido-corto-estampado,58318642,True,,,2025-10-15T16:54:52.774843
7330825356,Mango,Dresses,Vestito sgambato grigio Mango,S / 36 / 8,Muy bueno,Women,5.0,EUR,2025-10-15T16:54:42,https://www.vinted.es/items/7330825356-vestito-sgambato-grigio-mango,181711438,True,,,2025-10-15T16:54:52.774843
