item_id,brand_raw,category_raw,title,size_raw,condition_raw,audience,price,currency,published_at,listing_url,seller_id,visible,season,season_keyword,scrape_timestamp
7277928419,Zara,Dresses,Vestido corto Zara,M / 38 / 10,Muy bueno,Women,8.0,EUR,2025-10-10T06:10:34,https://www.vinted.es/items/7277928419-vestido-corto-zara,55459660,True,,,2025-10-10T23:55:50.483721
7264798561,Zara,Dresses,Vestido Zara,M / 38 / 10,Muy bueno,Women,5.0,EUR,2025-10-08T07:48:59,https://www.vinted.es/items/7264798561-vestido-zara,194511614,True,,,2025-10-10T23:55:50.483721
7270653932,Zara,Dresses,Camisa abalorios talla s Zara,S / 36 / 8,Bueno,Women,6.0,EUR,2025-10-09T05:43:45,https://www.vinted.es/items/7270653932-camisa-abalorios-talla-s-zara,31442989,True,,,2025-10-10T23:55:50.483721
7282574382,Zara,Dresses,Vestido zara satinado,XS / 34 / 6,Nuevo sin etiquetas,Women,25.0,EUR,2025-10-10T16:50:04,https://www.vinted.es/items/7282574382-vestido-zara-satinado,53855930,True,,,2025-10-10T23:55:50.483721
7279457782,Zara,Dresses,Vestido mini manga larga Zara,XS / 34 / 6,Muy bueno,Women,6.0,EUR,2025-10-10T09:25:12,https://www.vinted.es/items/7279457782-vestido-mini-manga-larga-zara,32323600,True,,,2025-10-10T23:55:50.483721
7280970861,Zara,Dresses,Vestido metalizado con espalda al aire mini de Zara fiesta,XS / 34 / 6,Muy bueno,Women,6.0,EUR,2025-10-10T12:29:57,https://www.vinted.es/items/7280970861-vestido-metalizado-con-espalda-al-aire-mini-de-zara-fiesta,30140045,True,,,2025-10-10T23:55:50.483721
7282331305,Zara,Dresses,Vestido marron Zara talla m,M / 38 / 10,Muy bueno,Women,4.0,EUR,2025-10-10T15:57:06,https://www.vinted.es/items/7282331305-vestido-marron-zara-talla-m,232264912,True,,,2025-10-10T23:55:50.483721
7282173164,Zara,Dresses,Vestido Zara,M / 38 / 10,Nuevo con etiquetas,Women,14.0,EUR,2025-10-10T15:29:29,https://www.vinted.es/items/7282173164-vestido-zara,64571749,True,,,2025-10-10T23:55:50.483721
7280444093,Zara,Dresses,"Vestido estampado en tonos marrón caldera, beige y negro-T.M",M / 38 / 10,Muy bueno,Women,19.9,EUR,2025-10-10T11:25:30,https://www.vinted.es/items/7280444093-vestido-estampado-en-tonos-marron-caldera-beige-y-negro-tm,102814839,True,,,2025-10-10T23:55:50.483721
7282929499,Zara,Dresses,Vestido largo,S / 36 / 8,Muy bueno,Women,19.0,EUR,2025-10-10T19:31:40,https://www.vinted.es/items/7282929499-vestido-largo,37583147,True,,,2025-10-10T23:55:50.483721
