item_id,brand_raw,category_raw,title,size_raw,condition_raw,audience,price,currency,published_at,seller_id,visible,season,season_keyword,scrape_timestamp
7331280047,Mango,Dresses,"nieuw jurk mango, mt s",S / 36 / 8,Nuevo sin etiquetas,Women,20.0,EUR,2025-10-16T01:14:09,24803453,True,,,2025-10-16T01:09:19.756455
7331279974,Sinéquanone,Dresses,"Robe d'hiver en lainage noire et gris, taille S, très bon état, de marque Sinéquanone",S / 36 / 8,Muy bueno,Women,6.5,EUR,2025-10-16T01:14:04,178681850,True,,,2025-10-16T01:09:19.756455
7331279879,Vintage Love,Dresses,Robe 👗 Femme,M / 38 / 10,Muy bueno,Women,5.0,EUR,2025-10-16T01:13:59,20153306,True,,,2025-10-16T01:09:19.756455
7331279688,Rip Curl,Dresses,Robe Rip Curl,M / 38 / 10,Muy bueno,Women,15.0,EUR,2025-10-16T01:13:48,89266439,True,,,2025-10-16T01:09:19.756455
7331279871,Zara,Dresses,Robe pull hiver,XL / 42 / 14,Nuevo con etiquetas,Women,49.0,EUR,2025-10-16T01:13:59,22544903,True,,,2025-10-16T01:09:19.756455
7331279817,Naf Naf,Dresses,Robe pull,XS / 34 / 6,Muy bueno,Women,9.0,EUR,2025-10-16T01:13:56,24410546,True,,,2025-10-16T01:09:19.756455
7331280412,H&M,Dresses,Petite robe noire,M / 38 / 10,Muy bueno,Women,5.0,EUR,2025-10-16T01:14:31,196912028,True,,,2025-10-16T01:09:19.756455
7331280352,Stradivarius,Dresses,Robe Stradivarius,M / 38 / 10,Muy bueno,Women,8.0,EUR,2025-10-16T01:14:27,21037954,True,,,2025-10-16T01:09:19.756455
7331280152,Zara,Dresses,Vestido midi de Zara,M / 38 / 10,Muy bueno,Women,12.0,EUR,2025-10-16T01:14:15,129583151,True,,,2025-10-16T01:09:19.756455
7314506148,,Dresses,"Robe à carreaux vintage sans marque – coton & dentelle, bretelles réglables, chic et féminine",M / 38 / 10,Muy bueno,Women,3.9,EUR,2025-10-14T15:37:28,242789770,True,,,2025-10-16T01:09:19.756455
7331280411,Zara,Dresses,Vestido negro talla M de Zara,M / 38 / 10,Muy bueno,Women,22.0,EUR,2025-10-16T01:14:31,134793166,True,,,2025-10-16T01:09:19.756455
7331280611,,Dresses,Salopette jeans ragazza,S / 36 / 8,Muy bueno,Women,8.0,EUR,2025-10-16T01:14:43,79194402,True,,,2025-10-16T01:09:19.756455
7331280537,Springfield,Dresses,Vestido informal Springfield,M / 38 / 10,Nuevo sin etiquetas,Women,4.0,EUR,2025-10-16T01:14:39,35541278,True,,,2025-10-16T01:09:19.756455
7331280577,Yessica,Dresses,Robe d'été taille 40,L / 40 / 12,Satisfactorio,Women,1.0,EUR,2025-10-16T01:14:41,172387788,True,,,2025-10-16T01:09:19.756455
7331280486,Zara,Dresses,vestido mujer,S / 36 / 8,Muy bueno,Women,10.0,EUR,2025-10-16T01:14:36,267694449,True,,,2025-10-16T01:09:19.756455
7331280520,Le Temps des Cerises,Dresses,Robe dentelle noir,S / 36 / 8,Muy bueno,Women,4.0,EUR,2025-10-16T01:14:38,17204340,True,,,2025-10-16T01:09:19.756455
7331280736,Yumi,Dresses,💥🖤 Vestido lana corto YUMI Talla S-M ó 36-38,M / 38 / 10,Muy bueno,Women,7.0,EUR,2025-10-16T01:14:49,30563315,True,,,2025-10-16T01:09:19.756455
7331281089,Local,Dresses,Vestido All I Want,L / 40 / 12,Nuevo con etiquetas,Women,10.0,EUR,2025-10-16T01:15:07,31171829,True,,,2025-10-16T01:09:19.756455
7331281000,Zara,Dresses,Robe neuf avec étiquette Zara,S / 36 / 8,Nuevo con etiquetas,Women,11.0,EUR,2025-10-16T01:15:01,13420168,True,,,2025-10-16T01:09:19.756455
7331280834,Massimo Dutti,Dresses,Massimo Dutti Wolle jurk Maat M,M / 38 / 10,Muy bueno,Women,10.0,EUR,2025-10-16T01:14:54,70893460,True,,,2025-10-16T01:09:19.756455
7331280969,Pimkie,Dresses,Robe Pull Beige - Pimkie,S / 36 / 8,Nuevo sin etiquetas,Women,2.5,EUR,2025-10-16T01:14:59,13818891,True,,,2025-10-16T01:09:19.756455
7331280898,TAMAR,Dresses,Robe RP Tamar,L / 40 / 12,Nuevo sin etiquetas,Women,3.0,EUR,2025-10-16T01:14:57,16584272,True,,,2025-10-16T01:09:19.756455
7331280915,Shein,Dresses,robe moulante,S / 36 / 8,Muy bueno,Women,4.0,EUR,2025-10-16T01:14:57,255033577,True,,,2025-10-16T01:09:19.756455
7328161202,Pull & Bear,Dresses,Robe salopette,L / 40 / 12,Nuevo sin etiquetas,Women,5.0,EUR,2025-10-15T11:05:33,41956523,True,,,2025-10-16T01:09:19.756455
7331281477,The Kooples,Dresses,The Kooples black dress,XS / 34 / 6,Nuevo con etiquetas,Women,100.0,EUR,2025-10-16T01:15:26,130730797,True,,,2025-10-16T01:09:19.756455
7331281363,Shein,Dresses,Jolie robe couleur Kamel.,S / 36 / 8,Muy bueno,Women,4.5,EUR,2025-10-16T01:15:21,12404166,True,,,2025-10-16T01:09:19.756455
7331281285,sansnom.,Dresses,Chemisier rose,L / 40 / 12,Bueno,Women,5.0,EUR,2025-10-16T01:15:17,54844341,True,,,2025-10-16T01:09:19.756455
7331281235,Shein,Dresses,Vestido lunares midi,M / 38 / 10,Nuevo sin etiquetas,Women,2.0,EUR,2025-10-16T01:15:16,251423532,True,,,2025-10-16T01:09:19.756455
7327941088,,Dresses,Robe blanche ajourée romantique 🌸 taille 36/38 – élégante & féminine 🤍,S / 36 / 8,Muy bueno,Women,2.9,EUR,2025-10-15T10:41:45,242789770,True,,,2025-10-16T01:09:19.756455
