item_id,brand_raw,category_raw,title,size_raw,condition_raw,audience,price,currency,published_at,listing_url,seller_id,visible,season,season_keyword,scrape_timestamp
7277928419,Zara,Dresses,Vestido corto Zara,M / 38 / 10,Muy bueno,Women,8.0,EUR,2025-10-10T06:10:34,https://www.vinted.es/items/7277928419-vestido-corto-zara,55459660,True,,,2025-10-10T23:47:36.089238
7270653932,Zara,Dresses,Camisa abalorios talla s Zara,S / 36 / 8,Bueno,Women,6.0,EUR,2025-10-09T05:43:45,https://www.vinted.es/items/7270653932-camisa-abalorios-talla-s-zara,31442989,True,,,2025-10-10T23:47:36.089238
7282574382,Zara,Dresses,Vestido zara satinado,XS / 34 / 6,Nuevo sin etiquetas,Women,25.0,EUR,2025-10-10T16:50:04,https://www.vinted.es/items/7282574382-vestido-zara-satinado,53855930,True,,,2025-10-10T23:47:36.089238
7279457782,Zara,Dresses,Vestido mini manga larga Zara,XS / 34 / 6,Muy bueno,Women,6.0,EUR,2025-10-10T09:25:12,https://www.vinted.es/items/7279457782-vestido-mini-manga-larga-zara,32323600,True,,,2025-10-10T23:47:36.089238
7280970861,Zara,Dresses,Vestido metalizado con espalda al aire mini de Zara fiesta,XS / 34 / 6,Muy bueno,Women,6.0,EUR,2025-10-10T12:29:57,https://www.vinted.es/items/7280970861-vestido-metalizado-con-espalda-al-aire-mini-de-zara-fiesta,30140045,True,,,2025-10-10T23:47:36.089238
7282173164,Zara,Dresses,Vestido Zara,M / 38 / 10,Nuevo con etiquetas,Women,14.0,EUR,2025-10-10T15:29:29,https://www.vinted.es/items/7282173164-vestido-zara,64571749,True,,,2025-10-10T23:47:36.089238
7280444093,Zara,Dresses,"Vestido estampado en tonos marrón caldera, beige y negro-T.M",M / 38 / 10,Muy bueno,Women,19.9,EUR,2025-10-10T11:25:30,https://www.vinted.es/items/7280444093-vestido-estampado-en-tonos-marron-caldera-beige-y-negro-tm,102814839,True,,,2025-10-10T23:47:36.089238
7282929499,Zara,Dresses,Vestido largo,S / 36 / 8,Muy bueno,Women,19.0,EUR,2025-10-10T19:31:40,https://www.vinted.es/items/7282929499-vestido-largo,37583147,True,,,2025-10-10T23:47:36.089238
7280752108,Zara,Dresses,Vestido blanco - Talla XS,XS / 34 / 6,Muy bueno,Women,5.0,EUR,2025-10-10T12:02:46,https://www.vinted.es/items/7280752108-vestido-blanco-talla-xs,63330796,True,,,2025-10-10T23:47:36.089238
7271900288,Zara,Dresses,Vestido Zara,S / 36 / 8,Muy bueno,Women,5.0,EUR,2025-10-09T07:46:36,https://www.vinted.es/items/7271900288-vestido-zara,30342992,True,,,2025-10-10T23:47:36.089238
7273916029,Zara,Dresses,vestido zara volantes blanco,XS / 34 / 6,Bueno,Women,3.0,EUR,2025-10-09T11:47:24,https://www.vinted.es/items/7273916029-vestido-zara-volantes-blanco,278831274,True,,,2025-10-10T23:47:36.089238
7282440170,Zara,Dresses,Vestido Zara,L / 40 / 12,Muy bueno,Women,4.0,EUR,2025-10-10T16:17:53,https://www.vinted.es/items/7282440170-vestido-zara,295450506,True,,,2025-10-10T23:47:36.089238
7279224675,Zara,Dresses,Vestido rojo elástico zara,M / 38 / 10,Bueno,Women,3.5,EUR,2025-10-10T08:57:23,https://www.vinted.es/items/7279224675-vestido-rojo-elastico-zara,131624695,True,,,2025-10-10T23:47:36.089238
7278170048,Zara,Dresses,Vestido verano Zara,M / 38 / 10,Muy bueno,Women,5.0,EUR,2025-10-10T06:42:52,https://www.vinted.es/items/7278170048-vestido-verano-zara,70306810,True,summer,verano,2025-10-10T23:47:36.089238
7275471712,Zara,Dresses,Vestido negro corto,M / 38 / 10,Muy bueno,Women,7.0,EUR,2025-10-09T15:11:32,https://www.vinted.es/items/7275471712-vestido-negro-corto,287091476,True,,,2025-10-10T23:47:36.089238
7275845624,Zara,Dresses,Vestido corto con manga larga,M / 38 / 10,Muy bueno,Women,4.0,EUR,2025-10-09T16:08:37,https://www.vinted.es/items/7275845624-vestido-corto-con-manga-larga,198657505,True,,,2025-10-10T23:47:36.089238
7279845567,Zara,Dresses,Vestido rojo,XS / 34 / 6,Nuevo sin etiquetas,Women,8.0,EUR,2025-10-10T10:11:50,https://www.vinted.es/items/7279845567-vestido-rojo,66336882,True,,,2025-10-10T23:47:36.089238
7281314276,Zara,Dresses,Vestido negro Zara,S / 36 / 8,Nuevo sin etiquetas,Women,5.0,EUR,2025-10-10T13:15:38,https://www.vinted.es/items/7281314276-vestido-negro-zara,252257705,True,,,2025-10-10T23:47:36.089238
7274373854,Zara,Dresses,Vestido,S / 36 / 8,Muy bueno,Women,8.0,EUR,2025-10-09T12:41:34,https://www.vinted.es/items/7274373854-vestido,26432192,True,,,2025-10-10T23:47:36.089238
7281317594,Zara,Dresses,Vestido combinado Zara camisero,M / 38 / 10,Nuevo con etiquetas,Women,10.0,EUR,2025-10-10T13:16:07,https://www.vinted.es/items/7281317594-vestido-combinado-zara-camisero,49726591,True,,,2025-10-10T23:47:36.089238
7277668744,Zara,Dresses,Vestido lencero lunares,M / 38 / 10,Nuevo sin etiquetas,Women,5.5,EUR,2025-10-10T05:36:27,https://www.vinted.es/items/7277668744-vestido-lencero-lunares,136623729,True,,,2025-10-10T23:47:36.089238
7275353585,Zara,Dresses,Vestido lazo,XS / 34 / 6,Nuevo con etiquetas,Women,10.0,EUR,2025-10-09T14:54:59,https://www.vinted.es/items/7275353585-vestido-lazo,295199086,True,,,2025-10-10T23:47:36.089238
7276676656,Zara,Dresses,Vestido Zara viral,S / 36 / 8,Nuevo con etiquetas,Women,10.0,EUR,2025-10-10T02:42:36,https://www.vinted.es/items/7276676656-vestido-zara-viral,49726591,True,,,2025-10-10T23:47:36.089238
7275565982,Zara,Dresses,Vestido dorado Zara,XS / 34 / 6,Nuevo sin etiquetas,Women,7.0,EUR,2025-10-09T15:25:08,https://www.vinted.es/items/7275565982-vestido-dorado-zara,32166474,True,,,2025-10-10T23:47:36.089238
7282183597,Zara,Dresses,Vestido zara,L / 40 / 12,Muy bueno,Women,12.0,EUR,2025-10-10T15:31:14,https://www.vinted.es/items/7282183597-vestido-zara,168752358,True,,,2025-10-10T23:47:36.089238
7281624615,Zara,Dresses,Vestido talla M,M / 38 / 10,Muy bueno,Women,3.0,EUR,2025-10-10T14:01:52,https://www.vinted.es/items/7281624615-vestido-talla-m,171995842,True,,,2025-10-10T23:47:36.089238
7270829361,Zara,Dresses,Vestido blanco zara,XS / 34 / 6,Muy bueno,Women,7.0,EUR,2025-10-09T05:30:11,https://www.vinted.es/items/7270829361-vestido-blanco-zara,289722962,True,,,2025-10-10T23:47:36.089238
7272801223,Zara,Dresses,Vestido marrón,XS / 34 / 6,Muy bueno,Women,5.0,EUR,2025-10-09T09:34:31,https://www.vinted.es/items/7272801223-vestido-marron,295266411,True,,,2025-10-10T23:47:36.089238
7282529778,Zara,Dresses,Vestido de Zara,M / 38 / 10,Nuevo con etiquetas,Women,25.0,EUR,2025-10-10T16:36:46,https://www.vinted.es/items/7282529778-vestido-de-zara,101240094,True,,,2025-10-10T23:47:36.089238
7272422219,Zara,Dresses,Vestido denim Zara,XS / 34 / 6,Bueno,Women,5.0,EUR,2025-10-09T08:50:10,https://www.vinted.es/items/7272422219-vestido-denim-zara,61822479,True,,,2025-10-10T23:47:36.089238
7278652609,Zara,Dresses,Vestido largo zara,S / 36 / 8,Nuevo sin etiquetas,Women,10.0,EUR,2025-10-10T07:46:06,https://www.vinted.es/items/7278652609-vestido-largo-zara,41497828,True,,,2025-10-10T23:47:36.089238
7277661811,Zara,Dresses,Vestido Zara punto,M / 38 / 10,Muy bueno,Women,7.0,EUR,2025-10-10T05:35:32,https://www.vinted.es/items/7277661811-vestido-zara-punto,34179878,True,,,2025-10-10T23:47:36.089238
7278303575,Zara,Dresses,Vestido vaquero de otoño,M / 38 / 10,Nuevo con etiquetas,Women,10.0,EUR,2025-10-10T07:00:29,https://www.vinted.es/items/7278303575-vestido-vaquero-de-otono,37047334,True,,,2025-10-10T23:47:36.089238
7281837468,Zara,Dresses,Vestido terciopelo,M / 38 / 10,Nuevo sin etiquetas,Women,7.0,EUR,2025-10-10T14:35:04,https://www.vinted.es/items/7281837468-vestido-terciopelo,53679957,True,,,2025-10-10T23:47:36.089238
7271028271,Zara,Dresses,Vestido rosa de manga larga,M / 38 / 10,Muy bueno,Women,10.0,EUR,2025-10-09T05:55:18,https://www.vinted.es/items/7271028271-vestido-rosa-de-manga-larga,38221095,True,,,2025-10-10T23:47:36.089238
7280854758,Zara,Dresses,Vestido zara,M / 38 / 10,Nuevo con etiquetas,Women,20.0,EUR,2025-10-10T12:15:25,https://www.vinted.es/items/7280854758-vestido-zara,78553618,True,,,2025-10-10T23:47:36.089238
7278640266,Zara,Dresses,Vestido Zara,M / 38 / 10,Nuevo con etiquetas,Women,15.0,EUR,2025-10-10T07:44:30,https://www.vinted.es/items/7278640266-vestido-zara,168619253,True,,,2025-10-10T23:47:36.089238
7281182413,Zara,Dresses,Vestido punto gris Zara,M / 38 / 10,Nuevo sin etiquetas,Women,8.0,EUR,2025-10-10T12:57:29,https://www.vinted.es/items/7281182413-vestido-punto-gris-zara,281051337,True,,,2025-10-10T23:47:36.089238
7281431740,Zara,Dresses,Vestido negro,L / 40 / 12,Muy bueno,Women,7.0,EUR,2025-10-10T13:32:26,https://www.vinted.es/items/7281431740-vestido-negro,295797323,True,,,2025-10-10T23:47:36.089238
7269244942,Zara,Dresses,Vestido punto Zara,S / 36 / 8,Muy bueno,Women,5.0,EUR,2025-10-08T16:51:39,https://www.vinted.es/items/7269244942-vestido-punto-zara,32488565,True,,,2025-10-10T23:47:36.089238
7280669812,Zara,Dresses,vestido largo floral,M / 38 / 10,Muy bueno,Women,5.0,EUR,2025-10-10T11:52:47,https://www.vinted.es/items/7280669812-vestido-largo-floral,82160940,True,,,2025-10-10T23:47:36.089238
7278003506,Zara,Dresses,Zara vestido T S,S / 36 / 8,Nuevo con etiquetas,Women,10.0,EUR,2025-10-10T06:20:40,https://www.vinted.es/items/7278003506-zara-vestido-t-s,30714957,True,,,2025-10-10T23:47:36.089238
7276987736,Zara,Dresses,Vestido fiesta,XS / 34 / 6,Muy bueno,Women,15.0,EUR,2025-10-10T03:55:40,https://www.vinted.es/items/7276987736-vestido-fiesta,40881981,True,,,2025-10-10T23:47:36.089238
7280184705,Zara,Dresses,Vestido camuflaje,S / 36 / 8,Muy bueno,Women,5.0,EUR,2025-10-10T10:53:49,https://www.vinted.es/items/7280184705-vestido-camuflaje,164621567,True,,,2025-10-10T23:47:36.089238
7278096570,Zara,Dresses,Zara vestido T S,S / 36 / 8,Nuevo con etiquetas,Women,10.0,EUR,2025-10-10T06:33:05,https://www.vinted.es/items/7278096570-zara-vestido-t-s,30714957,True,,,2025-10-10T23:47:36.089238
7271263644,Zara,Dresses,Vestido Zara,S / 36 / 8,Nuevo con etiquetas,Women,5.0,EUR,2025-10-09T06:25:38,https://www.vinted.es/items/7271263644-vestido-zara,260897484,True,,,2025-10-10T23:47:36.089238
7281412047,Zara,Dresses,Vestido satinado Zara,S / 36 / 8,Muy bueno,Women,10.0,EUR,2025-10-10T13:29:36,https://www.vinted.es/items/7281412047-vestido-satinado-zara,105806748,True,,,2025-10-10T23:47:36.089238
7277636895,Zara,Dresses,Vestido jersey Zara,S / 36 / 8,Nuevo con etiquetas,Women,10.0,EUR,2025-10-10T05:32:14,https://www.vinted.es/items/7277636895-vestido-jersey-zara,32974294,True,,,2025-10-10T23:47:36.089238
7279175340,Zara,Dresses,Vestido Maxi Zara,XS / 34 / 6,Muy bueno,Women,8.0,EUR,2025-10-10T08:51:30,https://www.vinted.es/items/7279175340-vestido-maxi-zara,295771356,True,,,2025-10-10T23:47:36.089238
7281275776,Zara,Dresses,Vestido largo de raso,M / 38 / 10,Muy bueno,Women,10.0,EUR,2025-10-10T13:10:16,https://www.vinted.es/items/7281275776-vestido-largo-de-raso,295804066,True,,,2025-10-10T23:47:36.089238
7280398117,Zara,Dresses,Vestido verde Zara,XS / 34 / 6,Muy bueno,Women,4.5,EUR,2025-10-10T11:19:54,https://www.vinted.es/items/7280398117-vestido-verde-zara,295766554,True,,,2025-10-10T23:47:36.089238
7279285249,Zara,Dresses,Vestido corto negro,S / 36 / 8,Nuevo sin etiquetas,Women,9.0,EUR,2025-10-10T09:04:44,https://www.vinted.es/items/7279285249-vestido-corto-negro,295605365,True,,,2025-10-10T23:47:36.089238
7272734184,Zara,Dresses,Vestido entallado,S / 36 / 8,Muy bueno,Women,6.0,EUR,2025-10-09T09:26:42,https://www.vinted.es/items/7272734184-vestido-entallado,277111523,True,,,2025-10-10T23:47:36.089238
7280349519,Zara,Dresses,Vestido estampado,L / 40 / 12,Muy bueno,Women,4.0,EUR,2025-10-10T11:14:00,https://www.vinted.es/items/7280349519-vestido-estampado,32969550,True,,,2025-10-10T23:47:36.089238
7282042692,Zara,Dresses,Vestido satinado fiesta Zara,M / 38 / 10,Nuevo con etiquetas,Women,15.0,EUR,2025-10-10T15:07:56,https://www.vinted.es/items/7282042692-vestido-satinado-fiesta-zara,43284040,True,,,2025-10-10T23:47:36.089238
7277723589,Zara,Dresses,Vestido largo elegante satinado,M / 38 / 10,Nuevo sin etiquetas,Women,13.0,EUR,2025-10-10T05:43:38,https://www.vinted.es/items/7277723589-vestido-largo-elegante-satinado,276867226,True,,,2025-10-10T23:47:36.089238
7281085491,Zara,Dresses,Vestido Zara T.L,L / 40 / 12,Muy bueno,Women,6.0,EUR,2025-10-10T12:44:40,https://www.vinted.es/items/7281085491-vestido-zara-tl,35303979,True,,,2025-10-10T23:47:36.089238
