segment,dts_median,dts_mean,dts_p25,dts_p75,sell_through_30d_pct,sold_30d_count,total_sold,total_items,price_p25,price_p50,price_p75,price_mean,avg_discount_pct,median_discount_pct,liquidity_score,liquidity_grade
Brand: Almagores,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,20.0,20.0,20.0,20.0,0.0,0.0,98.32913618016975,A
Brand: Almatrichi,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,20.0,20.0,20.0,20.0,0.0,0.0,98.32913618016975,A
Brand: Alpha,,,,,0.0,0,0,1,22.0,22.0,22.0,22.0,,,,
Brand: Amenapih,,,,,0.0,0,0,1,12.0,12.0,12.0,12.0,,,,
Brand: Amisu,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,42.857142857142854,3,3,7,4.25,5.0,11.5,8.5,0.0,0.0,91.1862790373126,A
Brand: Amnè,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,15.0,15.0,15.0,15.0,0.0,0.0,98.32913618016975,A
Brand: Amy Gee,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,1,1,2,19.0,20.0,21.0,20.0,0.0,0.0,98.32913618016975,A
Brand: Américo Tavar,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,14.99,14.99,14.99,14.99,0.0,0.0,98.32913618016975,A
Brand: An by Vergara,,,,,0.0,0,0,1,190.0,190.0,190.0,190.0,,,,
Brand: An'ge,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,1,1,2,6.5,11.0,15.5,11.0,0.0,0.0,98.32913618016975,A
Brand: Angel,,,,,0.0,0,0,1,20.0,20.0,20.0,20.0,,,,
Brand: Angela Davis,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,9.0,9.0,9.0,9.0,0.0,0.0,98.32913618016975,A
Brand: Angels Never Die,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,15.0,15.0,15.0,15.0,0.0,0.0,98.32913618016975,A
Brand: Aniye By,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,1,1,2,103.5,122.0,140.5,122.0,0.0,0.0,98.32913618016975,A
Brand: Ann Taylor,,,,,0.0,0,0,1,7.0,7.0,7.0,7.0,,,,
Brand: Anna Field,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,75.0,3,3,4,5.0,6.5,10.5,9.0,0.0,0.0,98.32913618016975,A
Brand: Anna Karel,,,,,0.0,0,0,1,12.99,12.99,12.99,12.99,,,,
Brand: Antea,,,,,0.0,0,0,1,18.0,18.0,18.0,18.0,,,,
Brand: Apart,,,,,0.0,0,0,1,45.0,45.0,45.0,45.0,,,,
Brand: April vintage,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,32.0,32.0,32.0,32.0,0.0,0.0,98.32913618016975,A
Brand: Armand Thiery,,,,,0.0,0,0,2,8.925,9.95,10.975,9.95,,,,
Brand: Armand Ventilo,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,30.0,30.0,30.0,30.0,0.0,0.0,98.32913618016975,A
Brand: Armani,,,,,0.0,0,0,1,10.0,10.0,10.0,10.0,,,,
Brand: Artigli,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,60.0,3,3,5,5.0,15.0,25.0,19.380000000000003,0.0,0.0,98.32913618016975,A
Brand: Atelier Felie,,,,,0.0,0,0,1,60.0,60.0,60.0,60.0,,,,
Brand: Atmosphere,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,2,2,4,4.5,5.5,6.875,5.875,0.0,0.0,98.32913618016975,A
Brand: Attic and Barn,,,,,0.0,0,0,1,33.0,33.0,33.0,33.0,,,,
Brand: Autre Chose,,,,,0.0,0,0,1,20.0,20.0,20.0,20.0,,,,
Brand: Autre Ton,,,,,0.0,0,0,1,5.0,5.0,5.0,5.0,,,,
Brand: Axara,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,14.0,14.0,14.0,14.0,0.0,0.0,98.32913618016975,A
Brand: Ayriss,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,4.0,4.0,4.0,4.0,0.0,0.0,98.32913618016975,A
Brand: Azalea,,,,,0.0,0,0,1,90.0,90.0,90.0,90.0,,,,
Brand: Azura,,,,,0.0,0,0,1,4.5,4.5,4.5,4.5,,,,
Brand: Azzurro,,,,,0.0,0,0,1,1.0,1.0,1.0,1.0,,,,
Brand: BGN Workshop,,,,,0.0,0,0,1,5.0,5.0,5.0,5.0,,,,
Brand: BO-HO,,,,,0.0,0,0,2,10.0,10.0,10.0,10.0,,,,
Brand: BPC Selection,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,12.0,12.0,12.0,12.0,0.0,0.0,98.32913618016975,A
Brand: BZB,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,8.0,8.0,8.0,8.0,0.0,0.0,98.32913618016975,A
Brand: Ba&sh,1.0025182918981481,1.0025182918981483,1.0025182918981481,1.0025182918981481,76.47058823529412,13,13,17,58.0,70.0,89.0,73.70588235294117,0.0,0.0,98.32913618016975,A
Brand: Baba Design,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,8.0,8.0,8.0,8.0,0.0,0.0,98.32913618016975,A
Brand: Banana Republic,,,,,0.0,0,0,1,7.0,7.0,7.0,7.0,,,,
Brand: Bandage,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,8.0,8.0,8.0,8.0,0.0,0.0,98.32913618016975,A
Brand: Baptiste,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,6.0,6.0,6.0,6.0,0.0,0.0,98.32913618016975,A
Brand: Barca,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,7.0,7.0,7.0,7.0,0.0,0.0,98.32913618016975,A
Brand: Basler,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,25.0,25.0,25.0,25.0,0.0,0.0,98.32913618016975,A
Brand: Baza,,,,,0.0,0,0,1,8.0,8.0,8.0,8.0,,,,
Brand: Beaucoup,,,,,0.0,0,0,1,5.0,5.0,5.0,5.0,,,,
Brand: Bel&Bo,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,2,2,4,2.75,3.5,4.25,3.5,0.0,0.0,98.32913618016975,A
Brand: Bella,,,,,0.0,0,0,1,3.0,3.0,3.0,3.0,,,,
Brand: Belle,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,66.66666666666666,2,2,3,19.5,24.0,27.0,23.0,0.0,0.0,98.32913618016975,A
Brand: Belle Époque,,,,,0.0,0,0,1,85.6,85.6,85.6,85.6,,,,
